peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,INMACC02VM094HTD8,INMACC02VM094HTD8,INMACC02VM094HTD8,"dmc_group_indexer",,,,,
localhost,INMACC02VM094HTD8,INMACC02VM094HTD8,INMACC02VM094HTD8,"dmc_group_kv_store",,,,,
localhost,INMACC02VM094HTD8,INMACC02VM094HTD8,INMACC02VM094HTD8,"dmc_group_license_master",,,,,
localhost,INMACC02VM094HTD8,INMACC02VM094HTD8,INMACC02VM094HTD8,"dmc_group_search_head",,,,,
